subject,text,sentiment,priority,category
"Invitación exclusiva a nuestro programa VIP","¡Felicidades! Has sido seleccionado para unirte a nuestro programa exclusivo de clientes VIP. Disfruta desde ahora mismo de beneficios exclusivos como envíos gratuitos, descuentos especiales y acceso anticipado a nuestras novedades. Haz clic en el enlace para activar tu membresía VIP hoy mismo.","positivo","media","comercial"
"Reporte de error crítico en aplicación móvil","Hola equipo de soporte, la última actualización de vuestra aplicación móvil presenta un error crítico que impide el acceso a varias funciones importantes, lo que está afectando directamente a mi experiencia de usuario y a mis operaciones diarias. Necesito que solucionen este problema con la mayor brevedad posible. Gracias anticipadas por la atención.","negativo","alta","queja"
"Queja formal sobre atención recibida en tienda","Estimados señores, escribo para expresar mi descontento por la atención recibida en vuestra tienda ubicada en la calle Mayor el día de ayer. El empleado a cargo mostró una actitud poco profesional y descortés cuando solicité información sobre un producto específico. Considero que este trato no es representativo del estándar que habitualmente ofrecen. Espero que tomen medidas para evitar situaciones similares en el futuro. Quedo pendiente de su respuesta.","negativo","media","queja"
"Agradecimiento especial al servicio postventa","Quiero felicitar al equipo del servicio postventa, especialmente a Javier, quien ha gestionado eficazmente la garantía de mi producto en tiempo récord. No esperaba una solución tan ágil y efectiva. Es un placer saber que puedo confiar plenamente en vuestro servicio. Muchas gracias y felicidades por vuestra profesionalidad.","positivo","baja","otro"
"Consulta urgente sobre estado de solicitud","Hola, hace más de una semana envié la documentación requerida para la aprobación de mi crédito personal. Hasta ahora no he recibido respuesta sobre el estado de mi solicitud y me urge contar con esta información cuanto antes debido a plazos personales importantes. Por favor, solicito me indiquen claramente en qué etapa se encuentra mi trámite. Muchas gracias por vuestra pronta atención.","neutro","alta","solicitud"
"Recordatorio de renovación de suscripción anual","Estimado cliente, le recordamos que su suscripción anual expira la próxima semana. Para seguir disfrutando de nuestros servicios sin interrupciones, por favor renueve su suscripción antes de la fecha indicada. Puede realizar el pago directamente desde su área de usuario o contactar con nuestro equipo para recibir asistencia personalizada. Quedamos a su disposición.","neutro","media","comercial"
"Fallo recurrente en aplicación bancaria móvil","Llevo días experimentando problemas recurrentes con la aplicación móvil de vuestro banco. La aplicación se cierra inesperadamente cada vez que intento realizar transferencias o consultar movimientos recientes. Este problema está perjudicando gravemente mis operaciones bancarias habituales. Solicito una solución urgente, ya que necesito acceder constantemente a mi cuenta para gestiones personales.","negativo","alta","queja"
"Confirmación de asistencia al taller de fotografía","Estimado equipo organizador, confirmo mi asistencia al taller de fotografía del próximo sábado. Estoy muy entusiasmado por la oportunidad de aprender técnicas avanzadas con profesionales reconocidos. Quisiera también saber si debo llevar algún material específico o equipo fotográfico adicional. Gracias y quedo a la espera de su respuesta.","positivo","baja","otro"
"Promoción especial: Semana del libro","Durante toda esta semana disfruta de descuentos especiales en nuestro catálogo de libros digitales y físicos. Por cada compra superior a 20€ recibirás un ejemplar adicional de regalo. No dejes pasar esta fantástica oportunidad para ampliar tu biblioteca personal. Visítanos en nuestra web o en tu tienda más cercana.","positivo","media","comercial"
"Problema con pedido incompleto","Estimados señores, hoy recibí mi pedido número #15689 y observé que falta uno de los productos solicitados. He revisado cuidadosamente el paquete y definitivamente el artículo no está incluido. Solicito la revisión inmediata de mi caso y la reposición urgente del producto faltante o la devolución del importe correspondiente. Espero su pronta respuesta.","negativo","alta","queja"
"Sugerencia de mejora en la página web","Buenas tardes, navegando por vuestra página web he notado que es complicado encontrar información específica sobre los productos más vendidos. Creo que añadir una sección destacada podría mejorar notablemente la experiencia de usuario. Espero que consideren esta sugerencia para futuras actualizaciones. Muchas gracias por vuestra atención.","neutro","baja","otro"
"Retraso considerable en devolución de dinero","He solicitado hace más de 15 días una devolución de dinero correspondiente a un pedido cancelado. Hasta ahora no he recibido ninguna comunicación concreta sobre cuándo se efectuará dicha devolución. Me parece inaceptable que se demore tanto tiempo una gestión aparentemente sencilla. Exijo que agilicen urgentemente el proceso.","negativo","alta","queja"
"Reconocimiento a vuestro equipo logístico","Solo quería tomar un momento para agradecer y reconocer públicamente al equipo logístico. Recibí mi pedido con anticipación y en perfectas condiciones, algo que me dejó muy satisfecho como cliente. Es muy grato poder confiar en vuestro servicio y eficiencia. ¡Sigan así!","positivo","baja","otro"
"Pedido de cotización urgente para material de oficina","Hola, necesito urgentemente que me envíen una cotización para la compra masiva de material de oficina, específicamente 200 unidades de carpetas archivadoras, papel A4, bolígrafos y material básico de papelería. Es indispensable recibir esta información hoy mismo para la aprobación interna. Quedo pendiente de su pronta respuesta.","neutro","alta","solicitud"
"Gran liquidación de stock por cierre de tienda","Debido al próximo cierre de nuestra sucursal, estamos ofreciendo hasta un 70% de descuento en todos los artículos disponibles hasta agotar existencias. Ven rápido a aprovechar estas ofertas únicas que no volverán. Te esperamos en nuestra tienda física o visita nuestra web.","positivo","media","comercial"
"Queja por calidad insuficiente del servicio de limpieza","Estoy realmente insatisfecho con la calidad del servicio de limpieza contratado para nuestra oficina. Los últimos días hemos detectado que varias áreas no están siendo limpiadas adecuadamente, generando molestias entre el personal. Solicito revisen este problema lo antes posible para asegurar que el servicio sea satisfactorio.","negativo","media","queja"
"Agradecimiento por solución rápida y efectiva","Quiero agradecer profundamente al equipo de soporte técnico por la excelente gestión realizada ante mi problema técnico del pasado lunes. No solo respondieron rápidamente, sino que también ofrecieron una solución eficaz y fácil de implementar. Valoro muchísimo vuestro esfuerzo y dedicación.","positivo","baja","otro"
"Invitación a webinar gratuito sobre finanzas personales","Te invitamos cordialmente a nuestro webinar gratuito sobre estrategias para mejorar tus finanzas personales. Aprende a manejar mejor tu presupuesto y optimizar tus ahorros. El evento será el próximo jueves a las 18:00. Regístrate gratuitamente en nuestro sitio web para reservar tu lugar.","positivo","media","comercial"
"Consulta sobre retraso en entrega de documentación","Estimados, envié hace dos semanas la documentación requerida para tramitar mi seguro de salud y aún no he recibido confirmación ni seguimiento por vuestra parte. Necesito aclarar urgentemente si hay algún inconveniente o documento adicional que debo proporcionar. Agradeceré su pronta respuesta.","neutro","alta","solicitud"
"Aviso sobre cargos no autorizados","Buenas tardes, revisando mi última factura, observo cargos por servicios adicionales que jamás contraté ni autoricé. Solicito la inmediata revisión y eliminación de estos cargos y una explicación detallada de cómo ocurrió este error. Espero una rápida solución.","negativo","alta","queja"
"Felicitaciones por excelente evento","Quisiera felicitarles por el magnífico evento organizado ayer. Todo estuvo impecable, desde la puntualidad hasta la calidad de las presentaciones. Ha sido muy útil para mi formación profesional, y espero asistir a futuros eventos similares. ¡Sigan así!","positivo","baja","otro"
"Urgente: falla generalizada en plataforma web","Estimados señores, nuestra empresa lleva toda la mañana sin poder acceder a la plataforma digital debido a una caída generalizada del sistema. Este problema está afectando gravemente nuestras operaciones diarias. Exigimos una solución inmediata y comunicación constante sobre la situación.","negativo","alta","queja"
"Promoción exclusiva por cumpleaños","¡Feliz cumpleaños! Para celebrarlo contigo, te regalamos un 30% de descuento válido durante toda la semana en cualquiera de nuestros productos. No pierdas esta oportunidad especial para consentirte. Usa el código FELIZCUMPLE en tu próxima compra.","positivo","media","comercial"
"Problemas técnicos con mi cuenta premium","Hace días actualicé mi cuenta a la versión premium, sin embargo, todavía no puedo acceder a los beneficios prometidos. He intentado comunicarme varias veces con soporte técnico sin éxito. Por favor, solucionen este problema cuanto antes o cancelen y devuelvan el importe pagado.","negativo","alta","queja"
"Agradecimiento personal al departamento de ventas","Quiero destacar el trato recibido por el departamento de ventas en mi reciente compra. Fueron muy atentos, pacientes y me brindaron asesoría personalizada para elegir exactamente lo que necesitaba. ¡Enhorabuena por vuestro equipo y gracias por tan excelente servicio!","positivo","baja","otro"
"Lanzamiento especial nueva línea de productos ecológicos","Te invitamos a conocer nuestra nueva línea de productos ecológicos y sostenibles. Asiste a la presentación exclusiva y disfruta de descuentos especiales por tu asistencia. Confirma tu presencia cuanto antes, ¡te esperamos!","positivo","media","comercial"
"Dificultades para realizar reserva en la aplicación","Buenas tardes, llevo varios días intentando hacer una reserva mediante vuestra aplicación móvil, pero cada vez que llego al paso final la aplicación se bloquea. He probado en distintos dispositivos y ocurre el mismo problema. Necesito solucionar esto cuanto antes para asegurar mi reserva.","negativo","alta","queja"
"Agradecimiento por gestión de garantía","Quiero agradecer al equipo de servicio técnico por la excelente gestión realizada con la garantía de mi televisor. La atención fue rápida, clara y eficiente, solucionando completamente el inconveniente que tenía. Gracias nuevamente por vuestra dedicación.","positivo","baja","otro"
"Promoción especial en planes familiares","Contrata hoy mismo uno de nuestros planes familiares y recibe los primeros tres meses totalmente gratis. Esta oferta está disponible por tiempo limitado, así que aprovecha para cuidar de los tuyos con las mejores condiciones del mercado.","positivo","media","comercial"
"Falta de respuesta sobre consulta realizada","Buenas tardes, escribí hace una semana consultando acerca de la compatibilidad de una pieza específica para mi vehículo y aún no recibo respuesta. Esta demora afecta directamente mi planificación de mantenimiento. Solicito una respuesta lo antes posible.","negativo","media","queja"
"Queja por producto dañado en envío","Buenos días, acabo de recibir mi pedido y he comprobado que uno de los artículos llegó dañado debido a un embalaje deficiente. Es la segunda vez que ocurre algo similar con vuestros envíos. Solicito la reposición inmediata del producto o un reembolso urgente.","negativo","alta","queja"
"Invitación exclusiva a programa de fidelización","Gracias a tu fidelidad, te invitamos a formar parte de nuestro nuevo programa de recompensas, donde podrás acumular puntos con cada compra y canjearlos por descuentos especiales. ¡Regístrate ya y comienza a disfrutar de estos beneficios exclusivos!","positivo","media","comercial"
"Reconocimiento al equipo de soporte informático","Escribo para destacar la gran labor realizada por vuestro equipo de soporte informático. Ante una situación crítica en nuestra red interna, reaccionaron con rapidez y solucionaron el problema en tiempo récord, minimizando notablemente las consecuencias para nuestra empresa. Muchas gracias.","positivo","baja","otro"
"Demora en la activación del servicio contratado","Estimados, contraté vuestro servicio premium hace más de 72 horas y aún no se encuentra activado en mi cuenta. He llamado varias veces y únicamente recibo respuestas evasivas. Necesito la activación inmediata del servicio, ya que está retrasando actividades esenciales para mi trabajo.","negativo","alta","queja"
"Agradecimiento especial al equipo comercial","Hola, quiero expresar mi total satisfacción con la asesoría recibida por el equipo comercial en mi última compra. Su paciencia, conocimiento y buena disposición hicieron que encontrara exactamente lo que necesitaba. Sin duda volveré a comprar con ustedes. Gracias por tan excelente atención.","positivo","baja","otro"
"Consulta sobre requisitos para apertura de cuenta","Buenos días, estoy interesado en abrir una cuenta bancaria con ustedes, pero antes necesito información detallada sobre los requisitos, documentación necesaria, beneficios específicos y comisiones aplicables. Agradecería una respuesta clara y rápida para tomar una decisión informada.","neutro","media","solicitud"
"Descuentos exclusivos por tiempo limitado","Durante esta semana disfruta descuentos exclusivos del 40% en nuestra colección primavera-verano. Además, si compras online recibirás envío gratis. ¡No te pierdas esta gran oportunidad de renovar tu armario con nuestras prendas de alta calidad!","positivo","media","comercial"
"Problemas para descargar mi factura digital","He intentado en múltiples ocasiones descargar la factura digital correspondiente a mi último pedido, pero la página muestra un error constantemente. Esto me impide presentar la factura ante mi empresa. Por favor solucionen este problema a la brevedad posible o envíenme directamente la factura por correo electrónico.","negativo","alta","queja"
"Solicitud de asesoría técnica para proyecto","Buenos días, estoy desarrollando un proyecto que requiere una integración específica con vuestro software. Necesito saber si ofrecen asesoría técnica personalizada para proyectos específicos y cuáles serían los costos y condiciones de este servicio. Espero vuestra pronta respuesta.","neutro","media","solicitud"
"Reconocimiento al departamento de atención telefónica","Me gustaría felicitar al personal del departamento de atención telefónica por su paciencia, eficacia y excelente trato durante mi última consulta. Pudieron resolver mis dudas rápidamente y de manera muy profesional. ¡Gracias por un servicio excepcional!","positivo","baja","otro"
"Oferta especial en seguros de hogar","Contrata hoy tu seguro de hogar y disfruta de 6 meses gratuitos, además de asistencia integral 24/7. Asegura tu tranquilidad y la de tu familia con la protección más completa del mercado. Solicita más información contactando con nuestros asesores especializados.","positivo","media","comercial"
"Insatisfacción por calidad de producto recibido","Lamento informarles que el producto recibido ayer presenta defectos evidentes de fabricación. Esperaba mucho más considerando el prestigio de vuestra marca. Solicito un reemplazo inmediato o la devolución completa del importe pagado, ya que necesito una solución urgente.","negativo","alta","queja"
"Solicitud urgente de cambio de fecha para cita médica","Buenos días, tengo programada una cita médica con ustedes para el próximo martes a las 10:00h, pero por motivos laborales no podré asistir. Necesito urgentemente cambiarla para cualquier día de la semana siguiente. Por favor, confirmen disponibilidad lo antes posible.","neutro","alta","solicitud"
"Queja por errores frecuentes en aplicación bancaria","Escribo para expresar mi frustración con la aplicación móvil del banco. Frecuentemente falla al mostrar movimientos actualizados o realizar transferencias. Esto genera serios inconvenientes al no poder controlar mis finanzas adecuadamente. Solicito que resuelvan esta situación cuanto antes.","negativo","alta","queja"
"Reconocimiento por rapidez en entrega de pedido","Estoy impresionado por la rapidez en la entrega de mi último pedido. Aunque inicialmente me indicaron que llegaría en cinco días hábiles, lo recibí en tan solo dos. Muchas gracias por este excelente servicio, ¡seguiré comprando con ustedes sin duda alguna!","positivo","baja","otro"
"Promoción especial verano en electrodomésticos","Prepárate para el verano con hasta un 30% de descuento en todos nuestros electrodomésticos. Aire acondicionado, refrigeradores, ventiladores y más a precios especiales por tiempo limitado. Visítanos en nuestras tiendas o compra online y aprovecha esta gran oportunidad.","positivo","media","comercial"
"Sugerencia para mejorar la atención telefónica","Buenas tardes, tras varias llamadas al centro de atención telefónica, considero que el tiempo de espera sigue siendo demasiado largo. Sugiero implementar un sistema de callback para evitar esperas prolongadas y mejorar así la experiencia del cliente. Gracias por considerarlo.","neutro","baja","otro"
"Consulta sobre disponibilidad de piezas originales","Hola, necesito verificar la disponibilidad de piezas originales para mi vehículo modelo VX-500 del año 2018, específicamente filtro de aceite, bujías y pastillas de freno. Agradecería una respuesta rápida para coordinar el mantenimiento adecuado del coche.","neutro","media","solicitud"
"Problemas con el servicio técnico contratado","Llevo más de una semana esperando a que vuestro servicio técnico solucione el problema con mi equipo de climatización. No han cumplido con ninguna de las fechas prometidas y cada día que pasa la situación empeora. Exijo una solución inmediata y definitiva.","negativo","alta","queja"
"Agradecimiento personal por servicio excepcional","Solo quería tomar un momento para agradecerles el excelente servicio recibido durante mi visita al taller el día de ayer. El personal fue extremadamente amable, resolvieron mi problema rápidamente y quedé completamente satisfecho. ¡Enhorabuena por su gran trabajo!","positivo","baja","otro"
"Invitación especial a clientes VIP","Como cliente preferente, estás invitado a nuestra próxima venta privada, donde podrás disfrutar de ofertas exclusivas antes que nadie. Ven y aprovecha descuentos increíbles reservados especialmente para nuestros clientes VIP. ¡No faltes!","positivo","media","comercial"
"Error grave en cobro domiciliado","Buenos días, he notado un error grave en el cobro domiciliado realizado este mes, donde se me ha cargado una cantidad considerablemente mayor a la habitual. Exijo la revisión inmediata y devolución urgente del importe incorrecto. Espero vuestra rápida respuesta para resolver esta situación.","negativo","alta","queja"
"Agradecimiento especial al soporte técnico online","Quiero dar las gracias al soporte técnico online por resolver rápidamente mi consulta relacionada con la configuración del router. El agente que me atendió fue paciente, claro y resolvió perfectamente mi problema en pocos minutos. Gracias nuevamente por vuestra eficacia.","positivo","baja","otro"
"Oferta exclusiva renovación de suscripción","¡Renueva tu suscripción hoy mismo y obtén un 25% de descuento adicional durante los próximos 6 meses! Continúa disfrutando de todos los beneficios exclusivos que ofrecemos solo a nuestros clientes fieles.","positivo","media","comercial"
"Problemas para activar mi tarjeta de crédito","He recibido recientemente mi tarjeta de crédito y he seguido todos los pasos indicados para activarla, pero el sistema continúa indicando error. Necesito que me ayuden urgentemente con esta activación, ya que dependo de la tarjeta para realizar pagos importantes.","negativo","alta","queja"
"Solicitud de información sobre curso online","Estoy interesado en el curso online de desarrollo web anunciado en vuestra plataforma educativa, pero necesito más información sobre la estructura, contenido específico, duración real y certificación final. Agradeceré una respuesta completa y detallada.","neutro","media","solicitud"
"Felicitación por la organización del seminario","Quisiera felicitarles sinceramente por la excelente organización del seminario realizado el pasado jueves. Las ponencias fueron muy interesantes y enriquecedoras, además la puntualidad y logística fueron impecables. Seguiré atento a futuras actividades.","positivo","baja","otro"
"Promoción exclusiva nueva colección deportiva","Lanzamos nuestra nueva colección deportiva con descuentos especiales hasta del 35%. Además, por compras superiores a 50 euros recibirás un regalo exclusivo. ¡Corre y aprovecha esta oportunidad única para equiparte con lo último en moda deportiva!","positivo","media","comercial"
"Queja formal por pésima atención telefónica","Llamé ayer a vuestro centro de atención telefónica y la persona que me atendió mostró una actitud completamente inapropiada e irrespetuosa. Considero esto inaceptable y exijo que se tomen las medidas necesarias para evitar que situaciones así vuelvan a repetirse.","negativo","alta","queja"
"Solicitud de ampliación del plazo de pago","Estimados, debido a circunstancias imprevistas necesito solicitar una ampliación de cinco días en el plazo de pago de mi factura mensual. Les agradecería mucho que consideraran esta petición excepcional. Quedo pendiente de vuestra confirmación para evitar cualquier inconveniente.","neutro","media","solicitud"
"Error crítico en aplicación tras última actualización","Desde la última actualización, vuestra aplicación se cierra inesperadamente en múltiples ocasiones, especialmente al intentar acceder al historial de transacciones. Esto está generando problemas constantes en mis tareas diarias. Solicito una solución inmediata.","negativo","alta","queja"
"Agradecimiento especial al personal de atención presencial","Quisiera felicitar y agradecer al personal que me atendió presencialmente en vuestra oficina el día de ayer. Fueron sumamente amables y resolvieron todas mis dudas con rapidez y profesionalismo. Es un placer recibir este nivel de atención.","positivo","baja","otro"
"Ofertas especiales por aniversario","Este mes celebramos nuestro 10º aniversario y queremos festejar contigo ofreciendo descuentos únicos en toda nuestra tienda. Aprovecha hasta un 50% de descuento en productos seleccionados solo durante esta semana. ¡Te esperamos!","positivo","media","comercial"
"Queja por falta de respuesta a correo anterior","Hace ya diez días envié una consulta urgente sobre el estado de mi reclamación y todavía no recibo respuesta alguna. Considero inaceptable esta falta de comunicación y exijo una aclaración inmediata sobre el estado de mi caso.","negativo","alta","queja"
"Felicidades por la atención brindada en taller","Agradezco sinceramente la excelente atención brindada por el personal del taller mecánico durante mi última visita. Fueron muy detallistas, transparentes en las explicaciones y resolvieron los problemas en mi vehículo rápidamente. ¡Excelente trabajo!","positivo","baja","otro"
"Promoción especial de fidelización","Como agradecimiento a tu preferencia, te otorgamos un bono especial del 15% para tu próxima compra en nuestra tienda. Activa tu código promocional ingresando a tu cuenta y úsalo antes del próximo domingo. ¡Gracias por seguir con nosotros!","positivo","media","comercial"
"Falla reiterada en sistema de facturación online","Buenos días, nuevamente presento problemas para emitir facturas desde vuestro sistema online. Este inconveniente es recurrente y me está generando retrasos constantes en mis labores administrativas. Necesito que se solucione con carácter de urgencia.","negativo","alta","queja"
"Consulta general sobre servicio técnico","He tenido pequeñas dificultades técnicas últimamente. No son críticas, pero agradecería saber si son comunes o si debería preocuparme.","neutro","baja","solicitud"
"Satisfacción relativa con atención recibida","Hola equipo, me atendieron rápidamente, aunque sentí que la solución ofrecida no fue completamente clara. Aun así, gracias por intentarlo.","neutro","baja","otro"
"Opinión sobre producto nuevo","He probado vuestro producto y aunque no estoy totalmente convencido, tampoco puedo decir que sea malo. Quizás esperaba algo más.","neutro","baja","otro"
"Interés por promociones recibidas","Me enviaron promociones interesantes recientemente, pero la información no es clara sobre cómo aplicarlas a mis próximas compras.","neutro","media","comercial"
"Duda sobre cargos menores en factura","He notado un pequeño cargo adicional en mi factura, aunque es muy poco dinero. ¿Podrían aclararme rápidamente de qué se trata?","neutro","baja","solicitud"
"Factura recibida con diferencias","Recibí la factura de este mes y he notado que los valores no coinciden exactamente con lo que esperaba. No estoy seguro si es un error o hay algún cambio reciente que desconozco.","neutro","media","solicitud"
"Recomendación de producto","Me recomendaron vuestro producto y estoy evaluando si vale la pena cambiarme desde el que uso actualmente. ¿Tienen alguna guía comparativa?","neutro","baja","comercial"
"Entrega parcial del pedido","Recibí parte de mi pedido esta mañana. El resto no ha llegado aún, pero quizás viene en otro paquete. ¿Me lo pueden confirmar?","neutro","media","solicitud"
"Acceso limitado a funciones premium","Al intentar usar algunas funciones premium me sale un aviso de restricción. No sé si es un fallo o si cambiaron las condiciones de acceso. Agradezco su aclaración.","neutro","media","queja"
"Recordatorio sobre vencimiento","Vi que mi suscripción vence pronto. Aún estoy decidiendo si renovar o no, ya que últimamente no la he aprovechado mucho.","neutro","baja","otro"
"Error en facturación mensual","He revisado mi factura de este mes y encuentro varios cargos duplicados que no corresponden a servicios contratados. Esta situación se repite constantemente y estoy cansado de tener que estar verificando cada mes. Necesito una explicación detallada y la corrección inmediata de estos errores.","negativo","alta","queja"
"Producto recibido en mal estado","El artículo que pedí llegó completamente dañado y en un empaque deteriorado. Es evidente que no se tuvo el cuidado necesario durante el envío. Esto es inaceptable considerando el precio que pagué. Exijo una solución inmediata.","negativo","alta","queja"
"Muy decepcionado con el servicio","Después de años siendo cliente leal, el servicio ha empeorado considerablemente. Los tiempos de respuesta son lentos, la atención es deficiente y los problemas nunca se resuelven completamente. Estoy considerando seriamente cambiar de proveedor.","negativo","media","queja"
"Cancelación inmediata de servicio","Debido a los constantes problemas y la pésima atención recibida, solicito la cancelación inmediata de todos mis servicios. No deseo continuar con esta relación comercial que solo me ha generado inconvenientes y pérdidas de tiempo.","negativo","alta","otro"
"Retraso inexcusable en proyecto","El proyecto que contratamos tiene un retraso de más de dos meses sin justificación válida. Esta demora está afectando gravemente nuestras operaciones comerciales y generando pérdidas económicas importantes. La situación es completamente inaceptable.","negativo","alta","queja"
"Cobro indebido en mi cuenta","Detecté un cargo no autorizado en mi cuenta por servicios que nunca contraté. He intentado contactar con ustedes múltiples veces sin obtener respuesta satisfactoria. Esta situación me genera mucha preocupación y desconfianza.","negativo","alta","queja"
"Garantía no respetada","Hace tres meses que mi producto se averió y está en garantía, pero aún no recibo solución. Cada vez que llamo me dan excusas diferentes y nadie se hace responsable. Esto es una falta de respeto total hacia el cliente.","negativo","media","queja"
"Personal poco profesional","El trato recibido por parte de su personal ha sido grosero e irrespetuoso. Cuando un cliente solicita ayuda, espera ser tratado con cortesía y profesionalismo, no con desdén y mala actitud.","negativo","media","queja"
"Publicidad engañosa","Los productos recibidos no coinciden en absoluto con lo anunciado en su página web. Las especificaciones son falsas y las imágenes no representan la realidad. Esto constituye publicidad engañosa y me siento estafado.","negativo","alta","queja"
"Servicio técnico incompetente","El técnico que enviaron no logró solucionar el problema y además causó daños adicionales al equipo. Su falta de conocimiento es evidente y ahora tengo más problemas que al inicio.","negativo","alta","queja"
"Horarios de atención inadecuados","Es imposible contactar con ustedes en horarios razonables. Siempre está ocupado o fuera de servicio cuando necesito asistencia urgente. Un servicio al cliente debe estar disponible cuando el cliente lo necesita.","negativo","media","otro"
"Política de devoluciones abusiva","Sus políticas de devolución son extremadamente restrictivas e injustas para el consumidor. Ponen trabas innecesarias y hacen casi imposible ejercer derechos básicos como cliente. Esto debe cambiar.","negativo","media","queja"
"URGENTE: Sistema de seguridad comprometido","Hemos detectado una brecha de seguridad en nuestro sistema que requiere atención inmediata. Los datos de nuestros clientes podrían estar en riesgo. Necesitamos que su equipo técnico nos contacte en las próximas horas para implementar las medidas correctivas necesarias.","negativo","alta","solicitud"
"Emergencia: Falla crítica en servidor principal","Nuestro servidor principal ha colapsado completamente afectando a todos nuestros servicios. Necesitamos soporte técnico urgente para restablecer las operaciones. Cada minuto de inactividad nos está generando pérdidas significativas.","negativo","alta","solicitud"
"CRÍTICO: Vencimiento de certificados mañana","Los certificados de seguridad de nuestra plataforma vencen mañana y aún no hemos recibido las renovaciones solicitadas hace semanas. Esto paralizará completamente nuestros servicios web. Requiero una solución inmediata.","neutro","alta","solicitud"
"Accidente laboral - Seguro médico urgente","Uno de nuestros empleados ha sufrido un accidente laboral y necesita atención médica inmediata. Requerimos la activación urgente de la póliza de seguro correspondiente y autorización para los tratamientos necesarios.","neutro","alta","solicitud"
"Orden judicial - Información requerida HOY","Por orden del juzgado debemos entregar información específica antes de las 18:00 horas de hoy. Necesitamos acceder urgentemente a los registros de transacciones del mes pasado. Es un requerimiento legal ineludible.","neutro","alta","solicitud"
"Cierre inmediato por inspección sanitaria","Las autoridades sanitarias han ordenado el cierre temporal de nuestras instalaciones. Necesitamos implementar las medidas correctivas de forma inmediata para poder reabrir. Cada día cerrado representa pérdidas millonarias.","negativo","alta","otro"
"Robo de mercancía - Reclamo de seguro urgente","Durante la madrugada sufrimos un robo importante de mercancía valorada en más de 50.000 euros. Necesitamos iniciar el proceso de reclamación al seguro de forma inmediata y contar con su asesoría para los trámites policiales.","negativo","alta","solicitud"
